Year,Circuit,DriverNumber,DrivingStyle,CircuitType,LapTime_AvgPace,LapTime_PaceConsistency,LapTime_PeakPace,SectorBalance,PointsFinish
2021,Singapore,55,Aggressive,Street,85.66797101449275,12.923589044582977,81.51666666666667,-2.2765289855072464,1
2021,Singapore,55,Balanced,Street,85.66797101449275,12.923589044582977,81.51666666666667,-2.2765289855072464,1
2021,Singapore,55,Cautious,Street,85.66797101449275,12.923589044582977,81.51666666666667,-2.2765289855072464,1
2021,Singapore,63,Aggressive,Street,86.67133333333334,13.39480253789231,82.112,-2.743289855072464,1
2021,Singapore,63,Balanced,Street,86.67133333333334,13.460303185409211,82.13266666666667,-2.743289855072464,1
2021,Singapore,63,Cautious,Street,86.67133333333334,13.411088018117098,82.12033333333333,-2.743289855072464,1
2021,Singapore,99,Aggressive,Street,87.66497058823529,15.161226665626765,82.736,-2.339948529411765,0
2021,Singapore,99,Balanced,Street,87.66497058823529,15.161226665626765,82.736,-2.339948529411765,0
2022,Baku,1,Aggressive,HighSpeed,110.70472549019608,9.413641239187681,106.05,-6.606088235294117,1
2022,Baku,1,Balanced,HighSpeed,110.70472549019608,9.413641239187681,106.05,-6.606088235294117,1
2022,Baku,1,Cautious,HighSpeed,110.70472549019607,9.491764082779198,106.29899999999999,-6.606088235294118,1
2022,Baku,3,Aggressive,HighSpeed,112.51270588235295,9.220356324980667,108.276,-6.599774509803922,1
2022,Baku,3,Cautious,HighSpeed,112.51270588235293,9.217332761585718,108.276,-6.599774509803922,1
2022,Baku,4,Aggressive,HighSpeed,112.51954901960785,8.339669209988868,107.997,-6.610323529411764,1
2022,Baku,4,Balanced,HighSpeed,112.51954901960785,8.34377641004578,107.997,-6.610323529411764,1
2022,Baku,4,Cautious,HighSpeed,112.51954901960785,8.406121808096112,108.041,-6.610323529411764,1
2022,Baku,5,Aggressive,HighSpeed,112.35372549019607,8.624409586243141,108.206,-6.6850000000000005,1
2022,Baku,5,Balanced,HighSpeed,112.35372549019608,8.631487477944267,108.206,-6.685,1
2022,Baku,5,Cautious,HighSpeed,112.35372549019608,8.652826169291599,108.29766666666667,-6.685,1
2022,Baku,6,Aggressive,HighSpeed,114.92874,8.852974805194812,109.67533333333334,-6.64111,0
2022,Baku,6,Balanced,HighSpeed,114.92874,8.838108338273548,109.58300000000001,-6.641109999999999,0
2022,Baku,10,Aggressive,HighSpeed,112.22039215686276,8.407068905881255,108.519,-6.511147058823529,1
2022,Baku,10,Balanced,HighSpeed,112.22039215686274,8.439377277666248,108.54533333333335,-6.51114705882353,1
2022,Baku,10,Cautious,HighSpeed,112.22039215686274,8.41856497156319,108.519,-6.51114705882353,1
2022,Baku,11,Aggressive,HighSpeed,111.11301960784314,9.721196766013366,106.046,-6.199480392156863,1
2022,Baku,11,Balanced,HighSpeed,111.11301960784313,9.718920938575868,106.046,-6.199480392156863,1
2022,Baku,14,Aggressive,HighSpeed,112.44190196078432,8.390550501997526,107.98899999999999,-6.8118823529411765,1
2022,Baku,14,Balanced,HighSpeed,112.4419019607843,8.385835384737275,107.98899999999999,-6.8118823529411765,1
2022,Baku,16,Aggressive,HighSpeed,113.3142,12.6913383349737,107.531,-6.696924999999999,0
2022,Baku,16,Balanced,HighSpeed,113.3142,12.683727336786955,107.531,-6.696924999999999,0
2022,Baku,18,Aggressive,HighSpeed,114.29834782608695,8.695528810748128,108.17933333333333,-6.759652173913044,0
2022,Baku,18,Balanced,HighSpeed,114.29834782608695,8.63182444506355,108.038,-6.759652173913043,0
2022,Baku,20,Aggressive,HighSpeed,112.62316129032257,6.690333960746002,108.789,-6.60316129032258,0
2022,Baku,20,Balanced,HighSpeed,112.62316129032259,6.7085886575968905,108.96499999999999,-6.603161290322581,0
2022,Baku,22,Aggressive,HighSpeed,113.09613999999999,10.01946370922408,107.52299999999998,-6.1346099999999995,0
2022,Baku,22,Balanced,HighSpeed,113.09614,10.025210462612687,107.52299999999998,-6.1346099999999995,0
